Date,Close/Last,Volume,Open,High,Low,Day
2/25/2020,69.316,51579320,71.55,71.8423,69.021,0
2/26/2020,69.5235,49803560,69.749,70.6835,68.8275,1
2/27/2020,65.7475,62289520,67.957,68.47,65.712,2
2/28/2020,66.9625,80218000,63.7155,67.1225,63.4105,3
3/2/2020,69.316,55429260,67.5695,69.3735,66.26,4
3/3/2020,66.886,56602240,69.884,70.4095,66.4621,5
3/4/2020,69.08,47597120,67.948,69.139,66.85,6
3/5/2020,65.738,54379640,67.2775,67.6815,65.082,7
3/6/2020,64.787,64646300,63.4975,65.1375,62.8605,8
3/9/2020,60.7895,69251560,60.248,62.6365,59.902,9
3/10/2020,63.7585,54871320,62.7195,63.7925,60.7255,10
3/11/2020,60.545,54833880,62.4135,62.8465,59.557,11
3/12/2020,55.5775,94325860,56.131,59.4375,55.4235,12
3/13/2020,60.7135,79399460,58.7495,60.72,55.6145,13
3/16/2020,53.65,96519620,54.4805,57.2735,53.354,14
3/17/2020,55.903,83193720,54.532,56.3,52.455,15
3/18/2020,54.5595,93044760,52.997,55.2495,51.85,16
3/19/2020,55.5835,74064960,54.411,57.6305,52.7775,17
3/20/2020,53.4105,82877940,56.545,56.9239,53.105,18
3/23/2020,52.7065,83672580,52.8185,53.3455,50.4435,19
3/24/2020,56.5005,72468700,55.199,56.6665,54.3215,20
3/25/2020,55.081,90323240,56.229,57.3085,54.1505,21
3/26/2020,58.146,76688440,55.736,58.574,54.6015,22
3/27/2020,55.513,62793220,56.3735,57.5525,55.2001,23
3/30/2020,57.3155,58736540,56.632,57.55,54.9245,24
3/31/2020,58.0975,65279420,57.4365,58.67,56.836,25
4/1/2020,55.105,51970380,56.2,56.471,54.6745,26
4/2/2020,55.8515,56410680,55,56.1385,54.6565,27
4/3/2020,54.635,51373880,55.7355,55.9395,53.754,28
4/6/2020,59.1595,63319820,56.65,59.5377,56.25,29
4/7/2020,59.128,61619100,60.8505,61.0388,58.8625,30
4/8/2020,60.35,40334260,60.155,60.745,59.1977,31
4/9/2020,60.3285,54028460,60.909,61.0995,59.6208,32
4/13/2020,60.5205,38702560,60.075,60.726,59.1166,33
4/14/2020,63.2615,63357240,61.9987,63.7875,61.4271,34
4/15/2020,62.865,42236840,62.3255,63.7555,61.7,35
4/16/2020,62.8715,57895140,63.357,63.6679,61.91,36
4/17/2020,63.95,51056480,64.085,64.5,63.3,37
4/20/2020,63.0575,35291860,63.4945,63.841,62.822,38
4/21/2020,60.608,49648080,62.1355,62.5,60.25,39
4/22/2020,62.9205,46315840,62.0555,63.994,61.86,40
4/23/2020,63.5585,34202440,63.287,64.4075,63.0265,41
4/24/2020,63.83,37440080,62.75,63.8855,62.2,42
4/27/2020,63.543,44186660,64.6,64.705,63.253,43
4/28/2020,61.6295,80700140,64.16,64.238,61.519,44
4/29/2020,67.109,108357760,67.25,68.0075,66.3365,45
4/30/2020,67.335,55842480,66.568,67.5,66.075,46
5/1/2020,65.866,48871080,66.2045,67.5715,65.483,47
5/4/2020,66.145,30806940,65.4065,66.2235,64.8005,48
5/5/2020,67.451,39666360,66.875,68.5505,66.7515,49
5/6/2020,67.2715,31732580,67.9,68.4345,67.2565,50
5/7/2020,68.464,30716380,68.0655,68.8,67.627,51
5/8/2020,69.217,33329740,69.091,69.832,68.6005,52
5/11/2020,70.1795,32717120,68.8395,70.7765,68.775,53
5/12/2020,68.759,33917480,70.411,70.7165,68.7255,54
5/13/2020,67.4165,40368080,68.808,69.2665,66.4005,55
5/14/2020,67.843,36660340,66.676,67.8685,66.165,56
5/15/2020,68.653,41543980,67.413,68.729,66.95,57
5/18/2020,69.259,47128980,68.079,69.638,67.71,58
5/19/2020,68.72,31585000,69.274,69.6245,68.688,59
5/20/2020,70.458,38262660,69.458,70.6013,69.371,60
5/21/2020,70.3375,30899520,70.5495,70.823,69.7195,61
5/22/2020,70.662,28544120,70.195,70.85,69.7975,62
5/26/2020,71.0685,44589760,72.098,72.2555,70.9698,63
5/27/2020,71.014,31683700,71,71.2673,69.73,64
5/28/2020,70.912,35195740,70,72.223,69.9538,65
5/29/2020,71.676,37050440,71.0215,71.8365,70.799,66
6/1/2020,71.7435,25185080,71.285,72.079,71.114,67
6/2/2020,72.1155,23441380,71.75,72.15,71.0805,68
6/3/2020,71.9625,27732800,72.135,72.4505,71.581,69
6/4/2020,70.715,26982100,71.839,72.066,70.3005,70
6/5/2020,72.001,42647000,70.782,72.315,70.3811,71
6/8/2020,72.402,33877620,71.314,72.45,71.224,72
6/9/2020,72.604,33623100,72.262,73.39,72.118,73
6/10/2020,73.235,31762320,73.0755,73.6385,72.7178,74
6/11/2020,70.095,47144860,72.0515,72.5802,69.9205,75
6/12/2020,70.646,36675120,71.293,71.7253,69.29,76
6/15/2020,71.037,30553040,69.4745,71.25,69.3598,77
6/16/2020,72.3235,30696520,72.45,72.8585,71.4495,78
6/17/2020,72.627,30610000,72.647,73.11,71.7563,79
6/18/2020,71.706,34861420,72.4925,72.6485,71.3118,80
6/19/2020,71.232,52783340,72,72.225,70.95,81
6/22/2020,72.533,29441440,71.2505,72.5475,70.9595,82
6/23/2020,73.199,37751660,72.6,73.76,72.25,83
6/24/2020,71.635,31591580,73.164,73.7895,71.5,84
6/25/2020,72.055,23958140,71.561,72.116,70.977,85
6/26/2020,68.127,97640280,71.6315,71.851,67.75,86
6/29/2020,69.8585,45073560,68.017,69.9,67.5825,87
6/30/2020,70.9025,40286400,69.844,71.2,69.3465,88
7/1/2020,72.1,42182480,70.9585,72.424,70.709,89
7/2/2020,73.4965,57218300,72.592,74.426,72.5533,90
7/6/2020,74.9825,44712600,74.4075,75.5,73.8488,91
7/7/2020,74.496,42363880,74.8065,76.066,74.485,92
7/8/2020,75.18,31765840,75.04,75.5585,74.615,93
7/9/2020,75.933,41836660,75.4965,76.4571,74.7795,94
7/10/2020,76.9505,35921260,75.6625,77.067,75.036,95
7/13/2020,75.6115,42954560,77.497,78.818,75.328,96
7/14/2020,76.043,38108000,74.6395,76.14,74.2963,97
7/15/2020,75.844,31026500,76.1615,76.8165,74.8915,98
7/16/2020,75.746,26484540,75.075,75.7955,74.4135,99
7/17/2020,75.8425,34264620,75.8455,76.1715,74.905,100
7/20/2020,78.192,30165540,75.75,78.4505,75.1348,101
7/21/2020,77.796,27554360,79.2515,79.3525,77.631,102
7/22/2020,78.2425,24482000,77.7855,78.349,77.1615,103
7/23/2020,75.8375,33909960,78.2965,78.5175,75.4295,104
7/24/2020,75.4105,29907620,74.9595,75.7714,74.3795,105
7/27/2020,76.4715,27123700,75.663,76.878,75.6165,106
7/28/2020,75.1825,30910680,76.25,76.3005,75.026,107
7/29/2020,76.1755,22675460,75.25,76.6665,75.1505,108
7/30/2020,76.9185,36042420,74.8985,77.0445,74.7585,109
